Normale X,Normale Y,Normale Z,S1 X,S1 Y,S1 Z,S2 X,S2 Y,S2 Z,S3 X,S3 Y,S3 Z
-967.1665,1480.9225,1065.7136,-140.4615,257.113,-178.1334,-178.9535,231.9745,-178.1334,-163.0572,214.6695,-139.6599
-1186.9274,1311.3922,1059.4775,-193.2308,187.9694,-139.6599,-178.9535,231.9745,-178.1334,-213.0391,201.124,-178.1334
-1377.4592,1109.5724,1053.9366,-219.088,157.0703,-139.6599,-213.0391,201.124,-178.1334,-241.879,165.3212,-178.1334
-1534.0771,880.4279,1049.0844,-240.0511,122.6626,-139.6599,-241.879,165.3212,-178.1334,-264.763,125.4476,-178.1334
-1652.9186,629.6034,1044.9254,-255.6518,85.51473,-139.6599,-264.763,125.4476,-178.1334,-281.1276,82.48509,-178.1334
-1731.0612,363.28284,1041.4614,-265.5417,46.45664,-139.6599,-281.1276,82.48509,-178.1334,-290.57,37.49151,-178.1334
-1766.5781,88.00836,1038.6875,-269.4998,6.360775,-139.6599,-290.57,37.49151,-178.1334,-292.8575,-8.425229,-178.1334
-1758.5966,-189.42523,1036.6034,-267.4378,-33.87718,-139.6599,-292.8575,-8.425229,-178.1334,-287.934,-54.13451,-178.1334
-1707.313,-462.2011,1035.2164,-259.4016,-73.35837,-139.6599,-287.934,-54.13451,-178.1334,-275.9205,-98.51083,-178.1334
-1613.9895,-723.59033,1034.522,-245.5708,-111.2009,-139.6599,-275.9205,-98.51083,-178.1334,-257.113,-140.4615,-178.1334
-1480.9225,-967.1666,1166.041,-201.8837,-178.6438,-139.6599,-257.113,-140.4615,-178.1334,-231.9745,-178.9535,-178.1334
-1311.3922,-1186.9274,1152.9116,-173.0033,-206.7377,-139.6599,-231.9745,-178.9535,-178.1334,-201.124,-213.0391,-178.1334
-1109.5724,-1377.4592,1140.469,-140.2583,-230.2135,-139.6599,-201.124,-213.0391,-178.1334,-165.3212,-241.879,-178.1334
-880.428,-1534.0773,1128.7151,-104.3801,-248.5466,-139.6599,-165.3212,-241.879,-178.1334,-125.4476,-264.763,-178.1334
